recording,channel,epoch,seizure
1,BTEleft SD,1,0
1,BTEleft SD,2,0
1,BTEleft SD,3,0
1,BTEleft SD,4,0
1,BTEleft SD,5,0
1,BTEleft SD,6,0
1,BTEleft SD,7,0
1,BTEleft SD,8,0
1,BTEleft SD,9,0
1,BTEleft SD,10,0
1,BTEleft SD,11,0
1,BTEleft SD,12,0
1,BTEleft SD,13,0
1,BTEleft SD,14,0
1,BTEleft SD,15,0
1,BTEleft SD,16,0
1,BTEleft SD,17,0
1,BTEleft SD,18,0
1,BTEleft SD,19,0
1,BTEleft SD,20,0
1,BTEleft SD,21,0
1,BTEleft SD,22,0
1,BTEleft SD,23,0
1,BTEleft SD,24,0
1,BTEleft SD,25,0
1,BTEleft SD,26,0
1,BTEleft SD,27,0
1,BTEleft SD,28,0
1,BTEleft SD,29,0
1,BTEleft SD,30,0
1,BTEleft SD,31,0
1,BTEleft SD,32,0
1,BTEleft SD,33,0
1,BTEleft SD,34,0
1,BTEleft SD,35,0
1,BTEleft SD,36,0
1,BTEleft SD,37,0
1,BTEleft SD,38,0
1,BTEleft SD,39,0
1,BTEleft SD,40,0
1,BTEleft SD,41,0
1,BTEleft SD,42,0
1,BTEleft SD,43,0
1,BTEleft SD,44,0
1,BTEleft SD,45,0
1,BTEleft SD,46,0
1,BTEleft SD,47,0
1,BTEleft SD,48,0
1,BTEleft SD,49,0
1,BTEleft SD,50,0
1,BTEleft SD,51,0
1,BTEleft SD,52,0
1,BTEleft SD,53,0
1,BTEleft SD,54,0
1,BTEleft SD,55,0
1,BTEleft SD,56,0
1,BTEleft SD,57,0
1,BTEleft SD,58,0
1,BTEleft SD,59,0
1,BTEleft SD,60,0
1,BTEleft SD,61,0
1,BTEleft SD,62,0
1,BTEleft SD,63,0
1,BTEleft SD,64,0
1,BTEleft SD,65,0
1,BTEleft SD,66,0
1,BTEleft SD,67,0
1,BTEleft SD,68,0
1,BTEleft SD,69,0
1,BTEleft SD,70,0
1,BTEleft SD,71,0
1,BTEleft SD,72,0
1,BTEleft SD,73,0
1,BTEleft SD,74,0
1,BTEleft SD,75,0
1,BTEleft SD,76,0
1,BTEleft SD,77,0
1,BTEleft SD,78,0
1,BTEleft SD,79,0
1,BTEleft SD,80,0
1,BTEleft SD,81,0
1,BTEleft SD,82,0
1,BTEleft SD,83,0
1,BTEleft SD,84,0
1,BTEleft SD,85,0
1,BTEleft SD,86,0
1,BTEleft SD,87,0
1,BTEleft SD,88,0
1,BTEleft SD,89,0
1,BTEleft SD,90,0
1,BTEleft SD,91,0
1,BTEleft SD,92,0
1,BTEleft SD,93,0
1,BTEleft SD,94,0
1,BTEleft SD,95,0
1,BTEleft SD,96,0
1,BTEleft SD,97,0
1,BTEleft SD,98,0
1,BTEleft SD,99,0
1,BTEleft SD,100,0
1,BTEleft SD,101,0
1,BTEleft SD,102,0
1,BTEleft SD,103,0
1,BTEleft SD,104,0
1,BTEleft SD,105,0
1,BTEleft SD,106,0
1,BTEleft SD,107,0
1,BTEleft SD,108,0
1,BTEleft SD,109,0
1,BTEleft SD,110,0
1,BTEleft SD,111,0
1,BTEleft SD,112,0
1,BTEleft SD,113,0
1,BTEleft SD,114,0
1,BTEleft SD,115,0
1,BTEleft SD,116,0
1,BTEleft SD,117,0
1,BTEleft SD,118,0
1,BTEleft SD,119,0
1,BTEleft SD,120,0
1,BTEleft SD,121,0
1,BTEleft SD,122,0
1,BTEleft SD,123,0
1,BTEleft SD,124,0
1,BTEleft SD,125,0
1,BTEleft SD,126,0
1,BTEleft SD,127,0
1,BTEleft SD,128,0
1,BTEleft SD,129,0
1,BTEleft SD,130,0
1,BTEleft SD,131,0
1,BTEleft SD,132,0
1,BTEleft SD,133,0
1,BTEleft SD,134,0
1,BTEleft SD,135,0
1,BTEleft SD,136,0
1,BTEleft SD,137,0
1,BTEleft SD,138,0
1,BTEleft SD,139,0
1,BTEleft SD,140,0
1,BTEleft SD,141,0
1,BTEleft SD,142,0
1,BTEleft SD,143,0
1,BTEleft SD,144,0
1,BTEleft SD,145,0
1,BTEleft SD,146,0
1,BTEleft SD,147,0
1,BTEleft SD,148,0
1,BTEleft SD,149,0
1,BTEleft SD,150,0
1,BTEleft SD,151,0
1,BTEleft SD,152,0
1,BTEleft SD,153,0
1,BTEleft SD,154,0
1,BTEleft SD,155,0
1,BTEleft SD,156,0
1,BTEleft SD,157,0
1,BTEleft SD,158,0
1,BTEleft SD,159,0
1,BTEleft SD,160,0
1,BTEleft SD,161,0
1,BTEleft SD,162,0
1,BTEleft SD,163,0
1,BTEleft SD,164,0
1,BTEleft SD,165,0
1,BTEleft SD,166,0
1,BTEleft SD,167,0
1,BTEleft SD,168,0
1,BTEleft SD,169,0
1,BTEleft SD,170,0
1,BTEleft SD,171,0
1,BTEleft SD,172,0
1,BTEleft SD,173,0
1,BTEleft SD,174,0
1,BTEleft SD,175,0
1,BTEleft SD,176,0
1,BTEleft SD,177,0
1,BTEleft SD,178,0
1,BTEleft SD,179,0
1,BTEleft SD,180,0
1,BTEleft SD,181,0
1,BTEleft SD,182,0
1,BTEleft SD,183,0
1,BTEleft SD,184,0
1,BTEleft SD,185,0
1,BTEleft SD,186,0
1,BTEleft SD,187,0
1,BTEleft SD,188,0
1,BTEleft SD,189,0
1,BTEleft SD,190,0
1,BTEleft SD,191,0
1,BTEleft SD,192,0
1,BTEleft SD,193,0
1,BTEleft SD,194,0
1,BTEleft SD,195,0
1,BTEleft SD,196,0
1,BTEleft SD,197,0
1,BTEleft SD,198,0
1,BTEleft SD,199,0
1,BTEleft SD,200,0
1,BTEleft SD,201,0
1,BTEleft SD,202,0
1,BTEleft SD,203,0
1,BTEleft SD,204,0
1,BTEleft SD,205,0
1,BTEleft SD,206,0
1,BTEleft SD,207,0
1,BTEleft SD,208,0
1,BTEleft SD,209,0
1,BTEleft SD,210,0
1,BTEleft SD,211,0
1,BTEleft SD,212,0
1,BTEleft SD,213,0
1,BTEleft SD,214,0
1,BTEleft SD,215,0
1,BTEleft SD,216,0
1,BTEleft SD,217,0
1,BTEleft SD,218,0
1,BTEleft SD,219,0
1,BTEleft SD,220,0
1,BTEleft SD,221,0
1,BTEleft SD,222,0
1,BTEleft SD,223,0
1,BTEleft SD,224,0
1,BTEleft SD,225,0
1,BTEleft SD,226,0
1,BTEleft SD,227,0
1,BTEleft SD,228,0
1,BTEleft SD,229,0
1,BTEleft SD,230,0
1,BTEleft SD,231,0
1,BTEleft SD,232,0
1,BTEleft SD,233,0
1,BTEleft SD,234,0
1,BTEleft SD,235,0
1,BTEleft SD,236,0
1,BTEleft SD,237,0
1,BTEleft SD,238,0
1,BTEleft SD,239,0
1,BTEleft SD,240,0
1,BTEleft SD,241,0
1,BTEleft SD,242,0
1,BTEleft SD,243,0
1,BTEleft SD,244,0
1,BTEleft SD,245,0
1,BTEleft SD,246,0
1,BTEleft SD,247,0
1,BTEleft SD,248,0
1,BTEleft SD,249,0
1,BTEleft SD,250,0
1,BTEleft SD,251,0
1,BTEleft SD,252,0
1,BTEleft SD,253,0
1,BTEleft SD,254,0
1,BTEleft SD,255,0
1,BTEleft SD,256,0
1,BTEleft SD,257,0
1,BTEleft SD,258,0
1,BTEleft SD,259,0
1,BTEleft SD,260,0
1,BTEleft SD,261,0
1,BTEleft SD,262,0
1,BTEleft SD,263,0
1,BTEleft SD,264,0
1,BTEleft SD,265,0
1,BTEleft SD,266,0
1,BTEleft SD,267,0
1,BTEleft SD,268,0
1,BTEleft SD,269,0
1,BTEleft SD,270,0
1,BTEleft SD,271,0
1,BTEleft SD,272,0
1,BTEleft SD,273,0
1,BTEleft SD,274,0
1,BTEleft SD,275,0
1,BTEleft SD,276,0
1,BTEleft SD,277,0
1,BTEleft SD,278,0
1,BTEleft SD,279,0
1,BTEleft SD,280,0
1,BTEleft SD,281,0
1,BTEleft SD,282,0
1,BTEleft SD,283,0
1,BTEleft SD,284,0
1,BTEleft SD,285,0
1,BTEleft SD,286,0
1,BTEleft SD,287,0
1,BTEleft SD,288,0
1,BTEleft SD,289,0
1,BTEleft SD,290,0
1,BTEleft SD,291,0
1,BTEleft SD,292,0
1,BTEleft SD,293,0
1,BTEleft SD,294,0
1,BTEleft SD,295,0
1,BTEleft SD,296,0
1,BTEleft SD,297,0
1,BTEleft SD,298,0
1,BTEleft SD,299,0
1,BTEleft SD,300,0
1,BTEleft SD,301,0
1,BTEleft SD,302,0
1,BTEleft SD,303,0
1,BTEleft SD,304,0
1,BTEleft SD,305,0
1,BTEleft SD,306,0
1,BTEleft SD,307,0
1,BTEleft SD,308,0
1,BTEleft SD,309,0
1,BTEleft SD,310,0
1,BTEleft SD,311,0
1,BTEleft SD,312,0
1,BTEleft SD,313,0
1,BTEleft SD,314,0
1,BTEleft SD,315,0
1,BTEleft SD,316,0
1,BTEleft SD,317,0
1,BTEleft SD,318,0
1,BTEleft SD,319,0
1,BTEleft SD,320,0
1,BTEleft SD,321,0
1,BTEleft SD,322,0
1,BTEleft SD,323,0
1,BTEleft SD,324,0
1,BTEleft SD,325,0
1,BTEleft SD,326,0
1,BTEleft SD,327,0
1,BTEleft SD,328,0
1,BTEleft SD,329,0
1,BTEleft SD,330,0
1,BTEleft SD,331,0
1,BTEleft SD,332,0
1,BTEleft SD,333,0
1,BTEleft SD,334,0
1,BTEleft SD,335,0
1,BTEleft SD,336,0
1,BTEleft SD,337,0
1,BTEleft SD,338,0
1,BTEleft SD,339,0
1,BTEleft SD,340,0
1,BTEleft SD,341,0
1,BTEleft SD,342,0
1,BTEleft SD,343,0
1,BTEleft SD,344,0
1,BTEleft SD,345,0
1,BTEleft SD,346,0
1,BTEleft SD,347,0
1,BTEleft SD,348,0
